order_no,invoice_no,category,sub_category,purchase_header,buyer_employee_id,approver_employee_id,supplier_name,company_id,supplier_id,contract_value,created
EOR687338,EHR-6006011017,Administrative Support,Mail,ROAD AND HIGHWAY BUILDING MATERIALS (ASPHALTIC),E601388,E601139,Stephanie Clinic,ABN 47 377 126 660,S3076,860000,03-Apr-2021
EOR687339,EHR-6006011018,Professional Services,Other Professional Services,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES,E601440,E600091,Nancy Management,ABN 42 383 612 748,S3082,610000,11-Oct-2021
EOR687340,EHR-6006011019,Insurance,Commercial,Care Supplies Patient (Not Otherwise Classified),E600204,E601099,Andrew Finance,ABN 42 371 684 433,S3070,610000,01-Apr-2021
EOR687341,EHR-6006011020,Travel,Local,Surgical Instruments Operating Room Grade,E600914,E600197,Nicholas Computers,ABN 44 356 165 369,S3055,300000,28-Apr-2022
EOR687342,EHR-6006011021,Administrative Support,Stationery,Plumbing Equipment and Supplies,E601120,E601327,Ronald Hotel,ABN 46 345 649 637,S3044,510000,30-Oct-2021
EOR687343,EHR-6006011022,Administrative Support,Stationery,Medical and Dental Equipment and Supplies,E601248,E600697,Monique Builders,ABN 45 301 598 208,S3000,290000,26-Oct-2021
EOR687344,EHR-6006011023,Administrative Support,Stationery,COMPUTER ACCESSORIES AND SUPPLIES,E600996,E600071,Cesar Cleaning,ABN 46 316 576 365,S3015,550000,22-Nov-2021
EOR687345,EHR-6006011024,Insurance,Commercial,DATA PROCESSING COMPUTER PROGRAMMING AND SOFTWARE SERVICE,E600310,E600055,Sarah Lawyers,ABN 45 336 398 139,S3035,130000,07-Jun-2022
EOR687346,EHR-6006011025,Information Technology,Hardware,Care Supplies Patient (Not Otherwise Classified),E600302,E601057,Alexis Finance,ABN 43 330 750 303,S3029,770000,19-Mar-2021
EOR687347,EHR-6006011026,Professional Services,Technical Consulting,Plastic Ware: Bottles; Prescription and Nursing; Cups Medic,E600880,E600543,Ryan Apparel,ABN 45 335 745 488,S3034,540000,10-Dec-2021
EOR687348,EHR-6006011027,Administrative Support,Printing,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E601402,E600335,Michael Hotel,ABN 46 325 766 730,S3024,230000,12-Jun-2021
EOR687349,EHR-6006011028,Information Technology,Software,Locks Key Blanks and Locksmith Tools  (Including Time Lock,E600544,E600723,Richard Clinic,ABN 42 396 712 319,S3095,580000,07-Jun-2022
EOR687350,EHR-6006011029,Information Technology,Hardware,Lumber Hardwood All Kinds,E600616,E600065,Lisa Apparel,ABN 43 302 758 581,S3001,370000,03-Aug-2021
EOR687351,EHR-6006011030,Travel,Local,Eye Glasses Including Sunglasses  (Including Frames Cases,E601208,E601401,Arthur Lawyers,ABN 42 368 492 317,S3067,660000,18-Dec-2021
EOR687352,EHR-6006011031,Insurance,Property,Electrocardiographs (EKG) and Supplies,E601244,E600705,Kevin Computers,ABN 44 344 159 482,S3043,200000,25-Jul-2021
EOR687353,EHR-6006011032,Administrative Support,Printing,Grants Community Service Programs,E600040,E600559,Tony Builders,ABN 42 355 413 240,S3054,700000,18-Feb-2021
EOR687354,EHR-6006011033,Insurance,Property,Sutures and Suturing Needles Disposable (Including Skin Sta,E601120,E601171,William Physiotherapy,ABN 46 313 472 590,S3012,870000,13-Jun-2022
EOR687355,EHR-6006011034,Administrative Support,Stationery,ARCHITECTURAL SERVICES PROFESSIONAL,E600294,E600543,Richard Physiotherapy,ABN 47 326 771 456,S3025,640000,20-Jun-2021
EOR687356,EHR-6006011035,Administrative Support,Stationery,HOSPITAL AND SURGICAL EQUIPMENT INSTRUMENTS AND SUPPLIES,E600642,E600965,Kevin Clinic,ABN 46 354 260 532,S3053,670000,21-Jul-2021
EOR687357,EHR-6006011036,Administrative Support,Printing,Sutures and Suturing Needles Disposable (Including Skin Sta,E600886,E601165,Lisa Apparel,ABN 43 302 758 581,S3001,700000,10-Oct-2021
EOR687358,EHR-6006011037,Insurance,Event,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601462,E601441,Christine Digital,ABN 43 391 498 897,S3090,320000,05-Jun-2021
EOR687359,EHR-6006011038,Information Technology,Software,Analyzers and Accessories,E600922,E600245,James Events,ABN 42 389 414 773,S3088,320000,01-Jun-2021
EOR687360,EHR-6006011039,Information Technology,Software,Furniture Office Maintenance and Repair (Includes Refinish,E600304,E600347,Alexandra Builders,ABN 46 382 880 578,S3081,440000,30-Mar-2021
EOR687361,EHR-6006011040,Information Technology,Hardware,PAINTING EQUIPMENT AND ACCESSORIES,E601120,E600873,Nicholas Computers,ABN 44 356 165 369,S3055,630000,25-Aug-2021
EOR687362,EHR-6006011041,Insurance,Other Insurance,Interpreter Services (Foreign Language Hearing Impaired et,E601198,E600913,Evan Gardening,ABN 44 367 115 406,S3066,260000,04-Jun-2021
EOR687363,EHR-6006011042,Travel,Local,Hammers Mallets Crow Bars Pinch Bars Pry Bars Ripping B,E600466,E601199,Chris Lawyers,ABN 47 393 455 339,S3092,140000,04-Jan-2022
EOR687364,EHR-6006011043,Information Technology,Hardware,Installation of Computers Peripherals and Related Equipmen,E600560,E601215,Matthew Lawyers,ABN 43 360 354 182,S3059,670000,05-Nov-2021
EOR687365,EHR-6006011044,Professional Services,Engineering,HUMAN SERVICES,E600210,E600873,Ryan Builders,ABN 46 321 575 688,S3020,210000,28-Apr-2022
EOR687366,EHR-6006011045,Insurance,Other Insurance,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES,E601434,E600021,Paul Builders,ABN 46 342 354 501,S3041,510000,20-Apr-2022
EOR687367,EHR-6006011046,Travel,International,Deodorants Room All Types,E601488,E600391,Kevin Computers,ABN 44 344 159 482,S3043,870000,17-Dec-2021
EOR687368,EHR-6006011047,Professional Services,Technical Consulting,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600402,E601283,Christine Trading,ABN 43 365 431 228,S3064,390000,08-Feb-2022
EOR687369,EHR-6006011048,Professional Services,Technical Consulting,Floor Covering Accessories (Not Otherwise Classified),E600086,E600557,John Apparel,ABN 45 374 774 544,S3073,380000,16-Sep-2021
EOR687370,EHR-6006011049,Administrative Support,Stationery,Clips Wound (Not for Use in Automatic Suturing Instruments),E601408,E600257,James Events,ABN 42 389 414 773,S3088,460000,04-Sep-2021
EOR687371,EHR-6006011050,Insurance,Event,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600848,E600389,Cindy Clinic,ABN 41 347 279 364,S3046,260000,15-Jun-2022
EOR687372,EHR-6006011051,Information Technology,Hardware,Water Purification Apparatus and Treatments (For Distilled,E600272,E600851,Maria Consulting,ABN 47 320 810 296,S3019,630000,20-Apr-2021
EOR687373,EHR-6006011052,Insurance,Commercial,Medical Documentation Forms Charts Labels etc.,E600640,E600947,Michael Clinic,ABN 43 369 376 360,S3068,100000,24-May-2022
EOR687374,EHR-6006011053,Administrative Support,Stationery,Engraving Services; Awards Trophies Etc. (See 966-28 for P,E601418,E600903,Nancy Management,ABN 42 383 612 748,S3082,30000,04-Jan-2022
EOR687375,EHR-6006011054,Professional Services,Legal,Batteries All Types,E600942,E600535,Matthew Digital,ABN 48 337 877 553,S3036,570000,14-Jun-2022
EOR687376,EHR-6006011055,Professional Services,Legal,Cleaning Materials (For Dairy Equipment): Chlorine Sanitizer,E601352,E600215,Robert Clinic,ABN 43 387 299 747,S3086,490000,06-Jul-2021
EOR687377,EHR-6006011056,Insurance,Commercial,Wrenches All Kinds (Including Sockets),E600570,E600545,Katherine Lawyers,ABN 43 305 792 134,S3004,320000,18-Feb-2021
EOR687378,EHR-6006011057,Travel,Local,Mops Heads and Handles Dry and Treated Types,E600318,E601247,Christine Digital,ABN 43 391 498 897,S3090,500000,20-Sep-2021
EOR687379,EHR-6006011058,Information Technology,Hardware,Deodorants Room All Types,E600678,E600089,Tiffany Apparel,ABN 45 376 312 757,S3075,490000,18-Apr-2021
EOR687380,EHR-6006011059,Travel,International,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600332,E601475,Joshua Property,ABN 45 303 156 248,S3002,410000,14-Jan-2022
EOR687381,EHR-6006011060,Insurance,Event,Plumbing Equipment and Supplies,E600608,E600223,Christie Property,ABN 45 349 357 654,S3048,370000,09-Dec-2021
EOR687382,EHR-6006011061,Professional Services,Technical Consulting,Pipe Fittings Misc. (Not Otherwise Classified),E601122,E600675,Stephen Events,ABN 46 390 827 581,S3089,510000,19-Jun-2021
EOR687383,EHR-6006011062,Information Technology,Software,CONSTRUCTION SERVICES GENERAL (INCL. MAINTENANCE AND REPAIR,E600604,E600781,Evan Gardening,ABN 44 367 115 406,S3066,500000,23-Feb-2021
EOR687384,EHR-6006011063,Administrative Support,Printing,AIR CONDITIONING HEATING AND VENTILATING EQUIPMENT PARTS,E600426,E600739,Stephanie Finance,ABN 42 341 567 697,S3040,410000,21-Sep-2021
EOR687385,EHR-6006011064,Insurance,Event,Paper Products: Cups Doilies Napkins Plates Straws Faci,E600302,E600249,Kristin Property,ABN 48 351 707 284,S3050,640000,14-Feb-2022
EOR687386,EHR-6006011065,Insurance,Other Insurance,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E600304,E601219,John Apparel,ABN 45 374 774 544,S3073,640000,07-Jul-2021
EOR687387,EHR-6006011066,Travel,International,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600368,E600453,Brandy Physiotherapy,ABN 45 392 543 107,S3091,580000,09-May-2022
EOR687388,EHR-6006011067,Travel,Local,Medical Documentation Forms Charts Labels etc.,E600682,E600241,Chelsea Builders,ABN 42 395 758 883,S3094,460000,11-Dec-2021
EOR687389,EHR-6006011068,Professional Services,Other Professional Services,TELECOMMUNICATION EQUIPMENT ACCESSORIES AND SUPPLIES,E600332,E601273,Kari Hotel,ABN 42 332 235 727,S3031,270000,08-Jan-2022
EOR687390,EHR-6006011069,Professional Services,Technical Consulting,DATA PROCESSING COMPUTER PROGRAMMING AND SOFTWARE SERVICE,E600662,E600655,Zachary Digital,ABN 43 323 584 552,S3022,430000,26-Aug-2021
EOR687391,EHR-6006011070,Information Technology,Software,Pails Buckets Tubs etc. (See 450-34 and 450-87 for Other,E600926,E601041,Jared Builders,ABN 47 328 550 156,S3027,220000,27-Jan-2022
EOR687392,EHR-6006011071,Insurance,Commercial,Electrolytic Caloric and Water Balance,E600866,E600087,Monique Builders,ABN 45 301 598 208,S3000,580000,09-Jun-2021
EOR687393,EHR-6006011072,Professional Services,Legal,Pipe Fittings Misc. (Not Otherwise Classified),E601040,E600297,Jacob Physiotherapy,ABN 44 352 560 555,S3051,230000,24-Jan-2022
EOR687394,EHR-6006011073,Administrative Support,Mail,Eye Glasses Including Sunglasses  (Including Frames Cases,E601348,E600249,Richard Physiotherapy,ABN 47 326 771 456,S3025,630000,22-Feb-2022
EOR687395,EHR-6006011074,Travel,International,HOSPITAL SURGICAL AND MEDICAL RELATED ACCESSORIES AND SUND,E601372,E600211,Chelsea Builders,ABN 42 395 758 883,S3094,200000,26-May-2022
EOR687396,EHR-6006011075,Insurance,Property,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E600100,E601143,Ryan Builders,ABN 46 321 575 688,S3020,580000,01-Mar-2022
EOR687397,EHR-6006011076,Travel,Local,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E601130,E600911,Evan Gardening,ABN 44 367 115 406,S3066,30000,20-Feb-2022
EOR687398,EHR-6006011077,Professional Services,Legal,PUBLICATIONS  AUDIOVISUAL MATERIALS BOOKS TEXTBOOKS  (PRE,E600892,E600351,Nancy Management,ABN 42 383 612 748,S3082,660000,30-Apr-2021
EOR687399,EHR-6006011078,Administrative Support,Mail,Personal Care Devices for the Handicapped (Not Otherwise Lis,E601278,E600787,Julie Apparel,ABN 42 398 293 588,S3097,210000,10-Nov-2021
EOR687400,EHR-6006011079,Information Technology,Software,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600862,E600225,Keith Management,ABN 46 333 653 400,S3032,630000,18-Mar-2021
EOR687401,EHR-6006011080,Administrative Support,Mail,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600218,E601043,Kimberly Apparel,ABN 42 366 780 774,S3065,850000,25-Nov-2021
EOR687402,EHR-6006011081,Administrative Support,Stationery,Washers Metal or Other Material (Not Steel),E600500,E600167,Lisa Apparel,ABN 43 302 758 581,S3001,110000,24-Jul-2021
EOR687403,EHR-6006011082,Information Technology,Software,Freight and Cargo Containers (Shipping) (See Class 640 For B,E600764,E600643,Michele Management,ABN 44 378 482 301,S3077,850000,03-Apr-2022
EOR687404,EHR-6006011083,Insurance,Commercial,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E601096,E600903,Ryan Apparel,ABN 45 335 745 488,S3034,620000,14-Feb-2021
EOR687405,EHR-6006011084,Professional Services,Other Professional Services,Administration Sets and IV Additive Accessories,E601122,E601011,Kristin Property,ABN 48 351 707 284,S3050,700000,04-Nov-2021
EOR687406,EHR-6006011085,Professional Services,Technical Consulting,Refrigerators and Freezers,E600082,E600433,William Finance,ABN 42 385 674 247,S3084,450000,05-May-2021
EOR687407,EHR-6006011086,Professional Services,Legal,HAND TOOLS (POWERED AND NON-POWERED) ACCESSORIES AND SUPPLI,E601420,E601231,Andrew Finance,ABN 42 371 684 433,S3070,230000,18-Oct-2021
EOR687408,EHR-6006011087,Professional Services,Legal,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E601302,E600423,Whitney Management,ABN 41 348 545 880,S3047,100000,12-Dec-2021
EOR687409,EHR-6006011088,Insurance,Other Insurance,DATA PROCESSING COMPUTER PROGRAMMING AND SOFTWARE SERVICE,E601132,E600131,Ronald Accounting,ABN 44 394 582 439,S3093,880000,01-Jun-2022
EOR687410,EHR-6006011089,Administrative Support,Stationery,AUTOMOTIVE AND TRAILER BODIES BODY ACCESSORIES AND PARTS,E600154,E601441,Jose Finance,ABN 45 318 829 567,S3017,240000,28-Oct-2021
EOR687411,EHR-6006011090,Professional Services,Other Professional Services,Oil Pump Vacuum,E600436,E600233,Julie Apparel,ABN 42 398 293 588,S3097,470000,01-Apr-2022
EOR687412,EHR-6006011091,Information Technology,Software,GASES CONTAINERS EQUIPMENT: LABORATORY MEDICAL AND WELDI,E601262,E601359,Lisa Apparel,ABN 43 302 758 581,S3001,790000,11-Oct-2021
EOR687413,EHR-6006011092,Travel,International,Electrocardiographs (EKG) and Supplies,E600458,E601411,Jared Builders,ABN 47 328 550 156,S3027,460000,11-Oct-2021
EOR687414,EHR-6006011093,Professional Services,Other Professional Services,ENGINEERING SERVICES PROFESSIONAL,E600994,E600397,Whitney Management,ABN 41 348 545 880,S3047,890000,30-Jul-2021
EOR687415,EHR-6006011094,Insurance,Commercial,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E601232,E601273,Justin Property,ABN 45 373 645 203,S3072,70000,22-Oct-2021
EOR687416,EHR-6006011095,Administrative Support,Printing,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601310,E600479,Joseph Builders,ABN 47 312 269 347,S3011,760000,12-Mar-2021
EOR687417,EHR-6006011096,Insurance,Commercial,Lamps/Lighting Interior and Exterior,E600680,E600163,Whitney Management,ABN 41 348 545 880,S3047,330000,22-May-2021
EOR687418,EHR-6006011097,Professional Services,Engineering,Resuscitators and Parts (Including Portable Rescue Units),E600708,E600629,Julie Apparel,ABN 42 398 293 588,S3097,60000,07-Jan-2022
EOR687419,EHR-6006011098,Travel,Local,Plumbing Equipment and Supplies,E600364,E601283,Barbara Cleaning,ABN 42 359 586 265,S3058,590000,13-Jan-2022
EOR687420,EHR-6006011099,Professional Services,Legal,CONSTRUCTION SERVICES GENERAL (INCL. MAINTENANCE AND REPAIR,E600112,E600325,Joshua Property,ABN 45 303 156 248,S3002,710000,12-Mar-2022
EOR687421,EHR-6006011100,Information Technology,Hardware,Pipe Fittings Misc. (Not Otherwise Classified),E600034,E600755,Stephanie Clinic,ABN 47 377 126 660,S3076,100000,20-Feb-2022
EOR687422,EHR-6006011101,Professional Services,Engineering,Electrolytic Caloric and Water Balance,E601140,E600517,Sarah Accounting,ABN 45 340 804 343,S3039,90000,19-May-2022
EOR687423,EHR-6006011102,Professional Services,Legal,Paper Goods: Diapers Medication Blister Cards Pillow Cases,E600330,E601139,Stephanie Clinic,ABN 47 377 126 660,S3076,640000,15-Feb-2021
EOR687424,EHR-6006011103,Professional Services,Engineering,HAND TOOLS (POWERED AND NON-POWERED) ACCESSORIES AND SUPPLI,E601340,E600399,Barbara Cleaning,ABN 42 359 586 265,S3058,300000,06-Apr-2022
EOR687425,EHR-6006011104,Insurance,Other Insurance,Sutures and Suturing Needles Disposable (Including Skin Sta,E600460,E600851,Monique Builders,ABN 45 301 598 208,S3000,20000,05-Oct-2021
EOR687426,EHR-6006011105,Travel,Local,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600450,E600239,Amanda Lawyers,ABN 43 311 447 799,S3010,560000,07-Dec-2021
EOR687427,EHR-6006011106,Professional Services,Other Professional Services,Controls Programmable,E600192,E600585,Jean Accounting,ABN 46 362 768 601,S3061,510000,09-Apr-2022
EOR687428,EHR-6006011107,Professional Services,Technical Consulting,Washers Metal or Other Material (Not Steel),E601056,E600619,Katherine Lawyers,ABN 43 305 792 134,S3004,270000,30-Nov-2021
EOR687429,EHR-6006011108,Insurance,Commercial,Water Purification Apparatus and Treatments (For Distilled,E600474,E600667,Victoria Digital,ABN 46 338 412 668,S3037,880000,20-Oct-2021
EOR687430,EHR-6006011109,Insurance,Other Insurance,CONSTRUCTION SERVICES GENERAL (INCL. MAINTENANCE AND REPAIR,E600728,E600007,Joshua Property,ABN 45 303 156 248,S3002,830000,02-Jul-2021
EOR687431,EHR-6006011110,Administrative Support,Stationery,Sutures and Suturing Needles Disposable (Including Skin Sta,E600318,E600447,Sarah Lawyers,ABN 45 336 398 139,S3035,550000,24-May-2022
EOR687432,EHR-6006011111,Professional Services,Other Professional Services,Eye Glasses Including Sunglasses  (Including Frames Cases,E601052,E600643,Ronald Accounting,ABN 44 394 582 439,S3093,190000,24-Nov-2021
EOR687433,EHR-6006011112,Travel,Local,Medical and Dental Equipment and Supplies,E601374,E601295,Ronald Accounting,ABN 44 394 582 439,S3093,290000,03-Mar-2022
EOR687434,EHR-6006011113,Professional Services,Engineering,JANITORIAL SUPPLIES GENERAL LINE,E600384,E600299,Scott Property,ABN 48 304 420 514,S3003,600000,03-Oct-2021
EOR687435,EHR-6006011114,Insurance,Commercial,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E601284,E600109,Ronald Hotel,ABN 46 345 649 637,S3044,300000,31-Mar-2022
EOR687436,EHR-6006011115,Administrative Support,Printing,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601344,E601305,Alex Apparel,ABN 43 357 160 878,S3056,780000,13-Jul-2021
EOR687437,EHR-6006011116,Administrative Support,Stationery,Sutures and Suturing Needles Disposable (Including Skin Sta,E601016,E601259,Maria Property,ABN 46 350 736 329,S3049,690000,13-Nov-2021
EOR687438,EHR-6006011117,Travel,International,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600160,E600577,Elaine Builders,ABN 41 370 432 783,S3069,220000,31-Aug-2021
EOR687439,EHR-6006011118,Travel,International,Catheters Specialized (And Guide Wires),E601030,E601207,Laura Events,ABN 46 343 795 444,S3042,170000,30-Dec-2021
EOR687440,EHR-6006011119,Insurance,Event,Transportation of Goods and Other Freight Services,E600638,E601337,Laura Events,ABN 46 343 795 444,S3042,420000,03-Mar-2022
EOR687441,EHR-6006011120,Information Technology,Software,Sutures and Suturing Needles Disposable (Including Skin Sta,E600976,E600327,John Apparel,ABN 45 374 774 544,S3073,300000,07-Jul-2021
EOR687442,EHR-6006011121,Professional Services,Other Professional Services,Surcharges and Taxes,E601258,E601349,Nancy Management,ABN 42 383 612 748,S3082,690000,09-Apr-2021
EOR687443,EHR-6006011122,Travel,International,AIR CONDITIONING HEATING AND VENTILATING EQUIPMENT PARTS,E601380,E601321,Julie Apparel,ABN 42 398 293 588,S3097,210000,14-May-2022
EOR687444,EHR-6006011123,Insurance,Event,Physical Therapy Equipment and Supplies,E601038,E600909,Scott Builders,ABN 42 331 129 734,S3030,20000,09-Aug-2021
EOR687445,EHR-6006011124,Administrative Support,Printing,Electrocardiographs (EKG) and Supplies,E600604,E600807,Tony Builders,ABN 42 355 413 240,S3054,580000,27-Sep-2021
EOR687446,EHR-6006011125,Insurance,Commercial,EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR GENERAL EQUIPM,E600486,E600341,Kevin Computers,ABN 44 344 159 482,S3043,550000,19-Jun-2021
EOR687447,EHR-6006011126,Professional Services,Technical Consulting,Electrolytic Caloric and Water Balance,E600120,E600799,John Apparel,ABN 45 374 774 544,S3073,470000,17-Jan-2022
EOR687448,EHR-6006011127,Professional Services,Technical Consulting,FURNITURE- OFFICE;BOOKCASE/CHAIR/DESK/FILE CABINET,E600640,E601217,Michael Clinic,ABN 43 369 376 360,S3068,600000,18-Jul-2021
EOR687449,EHR-6006011128,Professional Services,Other Professional Services,Eye Glasses Including Sunglasses  (Including Frames Cases,E601024,E601173,Michael Hotel,ABN 46 325 766 730,S3024,740000,18-Feb-2021
EOR687450,EHR-6006011129,Professional Services,Legal,Blood Chemistry Equipment (For Clotting Time Blood Glucose,E600658,E600765,Tracy Physiotherapy,ABN 45 307 376 146,S3006,110000,11-Feb-2021
EOR687451,EHR-6006011130,Insurance,Property,Sutures and Suturing Needles Disposable (Including Skin Sta,E600754,E600543,Gabriel Digital,ABN 46 363 785 828,S3062,850000,27-Aug-2021
EOR687452,EHR-6006011131,Professional Services,Other Professional Services,Sample Collecting Diluting and Multiple Dispensing Apparatu,E600336,E600505,Ronald Accounting,ABN 44 394 582 439,S3093,160000,11-Jun-2021
EOR687453,EHR-6006011132,Professional Services,Engineering,Eye Glasses Including Sunglasses  (Including Frames Cases,E600330,E600439,Kevin Clinic,ABN 46 354 260 532,S3053,280000,18-Mar-2022
EOR687454,EHR-6006011133,Professional Services,Engineering,HUMAN SERVICES,E601368,E601359,Scott Property,ABN 48 304 420 514,S3003,190000,03-Feb-2022
EOR687455,EHR-6006011134,Travel,Local,Weed/Brush Control Services,E601438,E600897,Jennifer Management,ABN 42 322 548 809,S3021,390000,18-Nov-2021
EOR687456,EHR-6006011135,Information Technology,Software,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600898,E601247,Russell Lawyers,ABN 45 381 409 477,S3080,800000,07-Apr-2022
EOR687457,EHR-6006011136,Travel,International,PAINTING EQUIPMENT AND ACCESSORIES,E600824,E601041,Chris Lawyers,ABN 47 393 455 339,S3092,540000,14-May-2022
EOR687458,EHR-6006011137,Insurance,Other Insurance,ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC),E600768,E601453,Michael Clinic,ABN 43 369 376 360,S3068,710000,04-Mar-2022
EOR687459,EHR-6006011138,Insurance,Other Insurance,Medical I.D. Bracelets Tags etc. for Hospital Patients an,E600726,E600657,Alex Apparel,ABN 43 357 160 878,S3056,180000,24-Jul-2021
EOR687460,EHR-6006011139,Insurance,Event,Lamps/Lighting Interior and Exterior,E600468,E600519,Lauren Finance,ABN 43 319 385 766,S3018,100000,24-Feb-2021
EOR687461,EHR-6006011140,Administrative Support,Mail,CONSTRUCTION SERVICES GENERAL (INCL. MAINTENANCE AND REPAIR,E600058,E600697,Tiffany Apparel,ABN 45 376 312 757,S3075,350000,13-Apr-2021
EOR687462,EHR-6006011141,Insurance,Event,Binders: Chain Post Prong Ring etc.,E600872,E600957,Alexandra Builders,ABN 46 382 880 578,S3081,880000,09-Nov-2021
EOR687463,EHR-6006011142,Administrative Support,Printing,PAINT PROTECTIVE COATINGS VARNISH WALLPAPER AND RELATED,E600030,E600889,Ronald Accounting,ABN 44 394 582 439,S3093,680000,04-Oct-2021
EOR687464,EHR-6006011143,Administrative Support,Printing,DATA PROCESSING COMPUTER PROGRAMMING AND SOFTWARE SERVICE,E600504,E600825,Rachel Accounting,ABN 47 346 628 832,S3045,750000,27-Apr-2022
EOR687465,EHR-6006011144,Insurance,Property,Orthopedic Equipment: Bone Plates Bone Saws Cast Cutters,E600000,E600783,Stephanie Clinic,ABN 47 377 126 660,S3076,180000,15-Dec-2021
EOR687466,EHR-6006011145,Insurance,Event,Training and Recreational Aids for the Handicapped,E600890,E600495,Evan Gardening,ABN 44 367 115 406,S3066,540000,10-Mar-2022
EOR687467,EHR-6006011146,Professional Services,Legal,Sutures and Suturing Needles Disposable (Including Skin Sta,E600322,E600531,Carol Lawyers,ABN 42 372 707 387,S3071,650000,15-Dec-2021
EOR687468,EHR-6006011147,Professional Services,Technical Consulting,Electrical Equipment and Supplies,E600520,E601039,Karen Computers,ABN 46 388 106 109,S3087,290000,02-Apr-2021
EOR687469,EHR-6006011148,Insurance,Other Insurance,Rent Exhibit Space Onsite,E600118,E600579,Jacob Physiotherapy,ABN 44 352 560 555,S3051,450000,14-Nov-2021
EOR687470,EHR-6006011149,Information Technology,Software,HOSPITAL AND SURGICAL EQUIPMENT INSTRUMENTS AND SUPPLIES,E600202,E601099,Gabriel Digital,ABN 46 363 785 828,S3062,680000,17-Aug-2021
EOR687471,EHR-6006011150,Insurance,Event,Electrolytic Caloric and Water Balance,E601028,E600465,Richard Clinic,ABN 42 396 712 319,S3095,150000,19-Mar-2021
EOR687472,EHR-6006011151,Professional Services,Technical Consulting,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E600710,E600875,Ann Physiotherapy,ABN 41 375 498 344,S3074,300000,28-Mar-2021
EOR687473,EHR-6006011152,Administrative Support,Printing,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600952,E601041,Mason Builders,ABN 41 329 128 864,S3028,90000,18-Dec-2021
EOR687474,EHR-6006011153,Professional Services,Other Professional Services,Sutures and Suturing Needles Disposable (Including Skin Sta,E601420,E600123,Nancy Management,ABN 42 383 612 748,S3082,760000,28-Mar-2021
EOR687475,EHR-6006011154,Professional Services,Other Professional Services,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600270,E600435,Justin Property,ABN 45 373 645 203,S3072,60000,31-Mar-2021
EOR687476,EHR-6006011155,Professional Services,Engineering,Professional Services (Not Otherwise Classified),E600316,E600125,Nicholas Computers,ABN 44 356 165 369,S3055,660000,29-Mar-2022
EOR687477,EHR-6006011156,Information Technology,Hardware,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600562,E601485,Sarah Accounting,ABN 45 340 804 343,S3039,850000,13-Aug-2021
EOR687478,EHR-6006011157,Travel,Local,CHEMICALS AND SOLVENTS COMMERCIAL (IN BULK),E600906,E600479,Jacob Physiotherapy,ABN 44 352 560 555,S3051,100000,11-Jan-2022
EOR687479,EHR-6006011158,Administrative Support,Mail,Medical Documentation Forms Charts Labels etc.,E601042,E600691,Kimberly Apparel,ABN 42 366 780 774,S3065,820000,10-Sep-2021
EOR687480,EHR-6006011159,Information Technology,Software,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600814,E600149,Mason Builders,ABN 41 329 128 864,S3028,80000,06-Jun-2021
EOR687481,EHR-6006011160,Information Technology,Software,FURNITURE- OFFICE;BOOKCASE/CHAIR/DESK/FILE CABINET,E600666,E601307,Alexis Finance,ABN 43 330 750 303,S3029,250000,05-Jun-2022
EOR687482,EHR-6006011161,Travel,Local,Physical Therapy Equipment and Supplies,E601138,E600335,Joseph Digital,ABN 47 310 480 747,S3009,50000,16-Feb-2021
